,date,nav
1815,25-01-2019,51.80020
1816,24-01-2019,52.29050
1817,23-01-2019,52.27130
1818,22-01-2019,52.53510
1819,21-01-2019,52.85800
1820,18-01-2019,53.07100
1821,17-01-2019,53.16740
1822,16-01-2019,53.20550
1823,15-01-2019,53.27560
1824,14-01-2019,53.15470
1825,11-01-2019,53.18620
1826,10-01-2019,53.24230
1827,09-01-2019,53.29980
1828,08-01-2019,53.25160
1829,07-01-2019,53.41870
1830,04-01-2019,53.32890
1831,03-01-2019,53.50670
1832,02-01-2019,53.71480
1833,01-01-2019,53.81800
1834,31-12-2018,53.82650
1835,28-12-2018,53.51780
1836,27-12-2018,53.03650
1837,26-12-2018,52.81700
1838,24-12-2018,52.80450
1839,21-12-2018,53.50260
1840,20-12-2018,54.15910
1841,19-12-2018,54.05890
1842,18-12-2018,53.49370
1843,17-12-2018,53.29490
1844,14-12-2018,53.08980
1845,13-12-2018,53.04740
1846,12-12-2018,52.67220
1847,11-12-2018,51.69330
1848,10-12-2018,51.30100
1849,07-12-2018,52.00780
1850,06-12-2018,51.90510
1851,05-12-2018,52.52670
1852,04-12-2018,52.94580
1853,03-12-2018,52.77470
1854,30-11-2018,52.74220
1855,29-11-2018,52.49690
1856,28-11-2018,52.44480
1857,27-11-2018,52.37870
1858,26-11-2018,52.36920
1859,22-11-2018,52.58670
1860,21-11-2018,52.68050
1861,20-11-2018,52.71180
1862,19-11-2018,53.02900
1863,16-11-2018,52.56470
1864,15-11-2018,52.64060
1865,14-11-2018,52.84700
1866,13-11-2018,52.60140
1867,12-11-2018,52.66270
1868,09-11-2018,53.03440
1869,06-11-2018,52.37470
1870,05-11-2018,52.43270
1871,02-11-2018,52.56680
1872,01-11-2018,52.05870
1873,31-10-2018,51.88510
1874,30-10-2018,51.44750
1875,29-10-2018,50.92970
1876,26-10-2018,50.33250
1877,25-10-2018,50.25100
1878,24-10-2018,50.39520
1879,23-10-2018,50.16670
1880,22-10-2018,50.77720
1881,19-10-2018,51.42500
1882,17-10-2018,51.98010
1883,16-10-2018,52.71740
1884,15-10-2018,52.16970
1885,12-10-2018,51.79440
1886,11-10-2018,51.00280
